product_id,brand,name,price,image_url,product_url,local_path
927602470,Tudors,Unisex 5'li Pkt Siyah-Beyaz-Lacivert-K.Gri-A.Mavi Slim Fit Dar Kesim %100 Pamuk Bisiklet Yaka Tişört,"1.151,43 TL",https://cdn.dsmcdn.com/mnresize/400/-/ty1662/prod/QC/20250415/15/1dbaab43-73b5-39b8-b99e-7ac52ef8e9a5/1_org_zoom.jpg,https://www.trendyol.com/tudors/unisex-5-li-pkt-siyah-beyaz-lacivert-k-gri-a-mavi-slim-fit-dar-kesim-100-pamuk-bisiklet-yaka-tisort-p-927602470,dataset/trendyol_images/927602470.jpg
1083158889,gencerco,Unisex Forgive Baskılı Grafiti Tasarım Basic Bisiklet Yaka Regular T-shirt,"143,04 TL",https://cdn.dsmcdn.com/mnresize/400/-/ty1810/prod/QC_PREP/20260111/22/dcd3aa92-b167-306c-acec-735f77c6ce4b/1_org_zoom.jpg,https://www.trendyol.com/gencerco/unisex-forgive-baskili-grafiti-tasarim-basic-bisiklet-yaka-regular-t-shirt-p-1083158889,dataset/trendyol_images/1083158889.jpg
1081169292,Etikmen,Premium %100 Organik Pamuk Basic Slimfit Beyaz Erkek Tişört,0 TL,https://cdn.dsmcdn.com/mnresize/400/-/ty1808/prod/QC_PREP/20260107/15/722518dc-5a1f-37f6-8317-3e4d5e6b75d7/1_org_zoom.jpg,https://www.trendyol.com/etikmen/premium-100-organik-pamuk-basic-slimfit-beyaz-erkek-tisort-p-1081169292,dataset/trendyol_images/1081169292.jpg
948959066,COOL TARZ,Canlı Siyah Erkek Yuvarlak Yaka Örme T-shirt,"332,25 TL",https://cdn.dsmcdn.com/mnresize/400/-/ty1700/prod/QC_PREP/20250626/14/f678b979-037c-3062-a095-b31e03c75f60/1_org_zoom.jpg,https://www.trendyol.com/cool-tarz/canli-siyah-erkek-yuvarlak-yaka-orme-t-shirt-p-948959066,dataset/trendyol_images/948959066.jpg
1085930617,JUDGE,erkek premium kalite rahat kalıp pamuklu yarım fermuarlı triko tişört / t-shirt,0 TL,https://cdn.dsmcdn.com/mnresize/400/-/ty1811/prod/QC_ENRICHMENT/20260115/17/c2078d08-41e1-370a-b74c-5c0e6924f3db/1_org_zoom.jpg,https://www.trendyol.com/judge/erkek-premium-kalite-rahat-kalip-pamuklu-yarim-fermuarli-triko-tisort-t-shirt-p-1085930617,dataset/trendyol_images/1085930617.jpg
927345216,MAXIMILLIAN,Erkek 3'Lü %100 Pamuk Basic Bisiklet Yaka T-shirt,"750,40 TL",https://cdn.dsmcdn.com/mnresize/400/-/ty1663/prod/QC/20250414/15/7fb8bdd6-a37d-3d7e-8ee9-274841225d96/1_org_zoom.jpg,https://www.trendyol.com/maximillian/erkek-3-lu-100-pamuk-basic-bisiklet-yaka-t-shirt-p-927345216,dataset/trendyol_images/927345216.jpg
854148963,H&M,Regular Fit Tişört,"227,49 TL",https://cdn.dsmcdn.com/mnresize/400/-/ty1811/prod/QC_ENRICHMENT/20260112/16/6bc1009f-8f93-3ae2-8123-3ef8114c882f/1_org_zoom.jpg,https://www.trendyol.com/h-m/regular-fit-tisort-p-854148963,dataset/trendyol_images/854148963.jpg
42479635,Madmext,Siyah Polo Yaka Erkek Tişört 9281,0 TL,https://cdn.dsmcdn.com/mnresize/400/-/ty1670/prod/QC/20250424/19/bb725695-cf54-330c-9811-b8c523a6ceb5/1_org_zoom.jpg,https://www.trendyol.com/madmext/siyah-polo-yaka-erkek-tisort-9281-p-42479635,dataset/trendyol_images/42479635.jpg
220686963,AC&Co / Altınyıldız Classics,Erkek/unisex Siyah %100 Pamuk Slim Fit Dar Kesim Bisiklet Yaka Basic Tişört,"260,99 TL",https://cdn.dsmcdn.com/mnresize/400/-/ty1747/product/media/images/prod/PIM/20250926/13/d2a961c4-8fb1-4514-a9f7-312a5b768efb/1_org_zoom.jpg,https://www.trendyol.com/ac-co-altinyildiz-classics/erkek-unisex-siyah-100-pamuk-slim-fit-dar-kesim-bisiklet-yaka-basic-tisort-p-220686963,dataset/trendyol_images/220686963.jpg
125949601,Giyyin,Beyaz Bisiklet Yaka Erkek Tişört Rahat Kalıp 1 Adet,0 TL,https://cdn.dsmcdn.com/mnresize/400/-/ty1540/product/media/images/ty1541/prod/QC/20240912/21/7c6e11e6-7481-345b-a21f-ab1b14469070/1_org_zoom.jpg,https://www.trendyol.com/giyyin/beyaz-bisiklet-yaka-erkek-tisort-rahat-kalip-1-adet-p-125949601,dataset/trendyol_images/125949601.jpg
934298283,Lufian,Thınk Modern Grafik T- Shirt Siyah,"627,99 TL",https://cdn.dsmcdn.com/mnresize/400/-/ty1741/prod/QC_ENRICHMENT/20250901/12/953ed07c-5d7c-3998-9bf2-d4cae3d62e53/1_org_zoom.jpg,https://www.trendyol.com/lufian/think-modern-grafik-t-shirt-siyah-p-934298283,dataset/trendyol_images/934298283.jpg
90429987,GRIMELANGE,Solo Erkek %100 Organik Pamuklu Kalın Dokulu Comfort Fit Bisiklet Yakalı Siyah T-shirt,"219,34 TL",https://cdn.dsmcdn.com/mnresize/400/-/ty1619/prod/QC/20241230/16/049aaf60-392c-318b-ac25-9369d7cbead3/1_org_zoom.jpg,https://www.trendyol.com/grimelange/solo-erkek-100-organik-pamuklu-kalin-dokulu-comfort-fit-bisiklet-yakali-siyah-t-shirt-p-90429987?boutiqueId=61&merchantId=165724,dataset/trendyol_images/90429987.jpg
819588224,Tudors,Unisex Slim Fit Dar Kesim %100 Pamuk Yumuşak Dokulu Siyah Bisiklet Yaka Tişört,"278,83 TL",https://cdn.dsmcdn.com/mnresize/400/-/ty1599/prod/QC/20241113/18/5deedfea-a96e-33d7-977a-e113ba9e7612/1_org_zoom.jpg,https://www.trendyol.com/tudors/unisex-slim-fit-dar-kesim-100-pamuk-yumusak-dokulu-siyah-bisiklet-yaka-tisort-p-819588224?boutiqueId=61&merchantId=139435,dataset/trendyol_images/819588224.jpg
